nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,tariff_id
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAABR,161177ac-a55e-5019-bb36-23f2267cac83,"CHAMONIX-MONT-BLANC  - Parking Mont Blanc",Voirie,"10 Carrefour du Mont Blanc 74400 CHAMONIX-MONT-BLANC","74056","[6.872792, 45.925034]",9,FREBNEBAABR1,1ccf998c-54ef-5e80-a792-5f361feb3a53,22,false,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50031188031490",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAABR,161177ac-a55e-5019-bb36-23f2267cac83,"CHAMONIX-MONT-BLANC  - Parking Mont Blanc",Voirie,"10 Carrefour du Mont Blanc 74400 CHAMONIX-MONT-BLANC","74056","[6.872792, 45.925034]",9,FREBNEBAABR2,ae2e6fc7-1c09-5b1a-ae27-880dd12a7cfd,22,false,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50031188031490",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAADJ,9a1100ba-1cf1-5641-abc1-f0ca31ba1100,"NYONS - Parking Cerisiers Mistral",Voirie,"1 Rue Georges Croizet 26110 NYONS","26220","[5.127572, 44.357458]",2,FREBNEBAADJ1,b8923efe-396d-558c-8cee-3b979a52ccc5,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"19748480344818",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAADJ,9a1100ba-1cf1-5641-abc1-f0ca31ba1100,"NYONS - Parking Cerisiers Mistral",Voirie,"1 Rue Georges Croizet 26110 NYONS","26220","[5.127572, 44.357458]",2,FREBNEBAADJ2,732a2171-cf37-53d5-b82a-872adafff541,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"19748480344818",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAADT,bdb5c59c-5675-5141-9716-38105f1a5117,"CHÂTILLON-EN-DIOIS-Parking Etrée Ouest",Voirie,"47 Rue de la Gare  26410 Châtillon-en-Diois","26086","[5.48049, 44.692929]",2,FREBNEBAADT1,1e28c0a6-7f6f-5641-a780-c62200b0af9f,24,false,false,true,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50086468386298",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAADT,bdb5c59c-5675-5141-9716-38105f1a5117,"CHÂTILLON-EN-DIOIS-Parking Etrée Ouest",Voirie,"47 Rue de la Gare  26410 Châtillon-en-Diois","26086","[5.48049, 44.692929]",2,FREBNEBAADT2,aeab97c3-3711-584e-b634-19d35c2c06e9,22,false,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50086468386298",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAALT,997af494-8f27-5b3e-a483-74f966955832,"CHARLIEU - Parking place de la bouverie",Voirie,"3b Place de la Bouverie 42190 CHARLIEU","42052","[4.174255, 46.158169]",2,FREBNEBAALT1,58c0c8bc-4892-5001-97f4-9bca3a95b3ef,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"19830969481979",,,2026-05-05,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAALT,997af494-8f27-5b3e-a483-74f966955832,"CHARLIEU - Parking place de la bouverie",Voirie,"3b Place de la Bouverie 42190 CHARLIEU","42052","[4.174255, 46.158169]",2,FREBNEBAALT2,628d2bc4-5c11-5156-98a8-3a24d5aac3d6,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"19830969481979",,,2026-05-05,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAAMM,c72b3f51-64bc-5599-9027-1bd12055ee2a,"GUILLESTRE - Champ de Foire",Voirie,"Chemin d'Eygliers 05600 GUILLESTRE","05065","[6.649073, 44.661324]",2,FREBNEBAAMM1,4c9a989d-1c2d-54d0-8e88-a60e7a4f4a36,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50006297065608",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
SPBR1,882332562,contact@eborn.fr,EASYCHARGE,contact@eborn.fr,tel:+33-4-23-10-03-50,eborn,FREBNPBAAMM,c72b3f51-64bc-5599-9027-1bd12055ee2a,"GUILLESTRE - Champ de Foire",Voirie,"Chemin d'Eygliers 05600 GUILLESTRE","05065","[6.649073, 44.661324]",2,FREBNEBAAMM2,7cff3db6-f487-5f4f-b2a0-40f89eaa7153,22,true,true,false,false,false,false,true,true,false,"entre 08:00 et 20:00 : 0.30916667€ par kwh de charge, 3.75€ par heure d'occupation hors charge, entre 20:00 et 08:00 : 0.30916667€ par kwh de charge, par défaut : 0.30916667€ par kwh de charge",Accès libre,true,"24/7",Accessibilité inconnue,inconnu,false,Direct,"50006297065608",,,2026-05-06,,b903ac6b-501b-5f4b-94a3-3027c24318c5
